time,open,high,low,close,volume,sma,ema,rsi,macd,signal,hist,atr,bbLower,bbMiddle,bbUpper
2025-06-11T17:25:00.000Z,109726.7,109768.85,109678.22,109682.47,49.25683,109567.53,109587.58,53.23,-40.69,-71.64,30.95,153.44,109345.3,109567.53,109789.75
2025-06-11T17:30:00.000Z,109682.46,109719,109576.9,109576.9,47.5898,109556.08,109585.44,47.86,-38.1,-64.93,26.83,152.63,109362.37,109556.08,109749.8
2025-06-11T17:35:00.000Z,109576.91,109576.91,109424.49,109441.92,29.82707,109541.4,109556.74,42.03,-46.41,-61.23,14.82,152.61,109360.24,109541.4,109722.55
2025-06-11T17:40:00.000Z,109441.92,109505.95,109280,109288.63,59.42833,109518.79,109503.12,36.57,-64.62,-61.91,-2.71,157.85,109330.11,109518.79,109707.46
2025-06-11T17:45:00.000Z,109288.63,109290.81,109285.39,109290.8,2.13408,109507.93,109460.65,36.7,-77.98,-65.12,-12.86,146.96,109294.62,109507.93,109721.24

